,link,title,description,content,category,pub_date,keywords,tag
0,https://vnexpress.net/xu-phat-13-nguoi-khong-khai-bao-y-te-4147396.html,Xử phạt 13 người không khai báo y tế,"Ngày 16/8, 13 người liên hoan tại nhà hàng Thế giới bò tươi (36 Ngô Quyền, TP Hải Dương) không khai báo y tế nên bị phạt mỗi người 300.000 đồng.","Bà Bùi Thị Kim Tuyến, Chủ tịch phường Lê Thanh Nghị, TP Hải Dương (tỉnh Hải Dương) cho biết, ngày 31/7 nhóm khách gồm 23 người tổ chức liên quan tại nhà hàng Thế giới bò tươi.
Ngay sau khi Bộ Y tế công bố người đàn ông 63 tuổi làm bảo vệ, trông giữ xe tại nhà hàng trở thành ""bệnh nhân 867"", ngày 13-14/8, Sở Y tế tỉnh Hải Dương phát đi thông báo khẩn, kêu gọi tất cả người dân trên địa bàn đến nhà hàng nói trên ăn uống từ ngày 10/7 đến 11/8 ra cơ quan y tế khai báo. Tuy nhiên, chỉ có 4 thành viên trong nhóm 23 khách tham dự liên hoan chấp hành.
Sau hai ngày truy tìm, công an thành phố Hải Dương đã xác định được danh tính, địa chỉ 19 người còn lại. Tất cả đều cư trú ở TP Hải Dương. 13 người đã bị lập biên bản xử phạt vi phạm hành chính với số tiền 300.000 đồng một người. 6 người khác do chưa đến tuổi chịu trách nhiệm vi phạm hành chính nên bị nhắc nhở. Hiện tất cả trường hợp này cách ly tại nhà.
Trước đó ngày 15/8, UBND phường Bình Hàn, thành phố Hải Dương lập biên bản xử phạt một sinh viên ""trốn tránh biện pháp áp dụng cách ly y tế tại nhà"". Mức tiền xử phạt 3,5 triệu đồng theo quy định tại điểm b, khoản 1, điều 10 Nghị định số 176/2013 về xử phạt vi phạm hành chính trong lĩnh vực y tế.
Nam sinh đang học đại học tại Hà Nội, thuộc diện cách ly y tế tại nhà các ngày 12-16/8. Tuy nhiên, khoảng 6h ngày 15/8, nam sinh tự ý ra khỏi nhà lên phòng trọ của bạn tại Trâu Quỳ, huyện Gia Lâm, TP Hà Nội để làm bài tập.",Thời sự,1597581258.0,"['Hải Dương', 'xử phạt', 'khai báo y tế', 'Dân sinh', 'Tin', 'Tin nóng']","['hải dương', 'xử phạt', 'khai báo y tế']"
1,https://vnexpress.net/de-xuat-dua-nguoi-mac-ket-o-da-nang-tro-ve-nha-4147453.html,Đề xuất đưa người mắc kẹt ở Đà Nẵng trở về nhà,"UBND Đà Nẵng gửi tờ trình lên Thủ tướng, xin chỉ đạo cho phép người từ nơi khác tới được rời thành phố này, trở về nhà.","Nhận định ""dịch bệnh tại Đà Nẵng còn diễn biến phức tạp"", ngày 16/8 lãnh đạo thành phố đã có tờ trình nêu trên.
Từ 0h ngày 28/7, Đà Nẵng áp dụng cách ly toàn xã hội theo Chỉ thị 16 của Thủ tướng. Tất cả phương tiện giao thông đi và đến dừng hoạt động.
Do vậy, lượng lớn người lao động, học sinh, sinh viên và người ngoài thành phố đến làm việc, học tập hoặc thăm người thân... đang bị kẹt lại ở Đà Nẵng. Trong đó, nhiều người có nguyện vọng trở về nơi cư trú.
Nếu được chấp thuận, Đà Nẵng mong muốn Thủ tướng chỉ đạo UBND các tỉnh, thành đang có người dân ở Đà Nẵng cùng phối hợp để tiếp nhận, đón công dân theo phương án đảm bảo phòng, chống dịch. Đà Nẵng cũng đề nghị Bộ Giao thông vận tải mở một số tuyến tàu hỏa đưa người từ Đà Nẵng về các địa phương. Tuy nhiên, Đà Nẵng không đề nghị mở lại các chuyến bay hai chiều.
Đại diện Sở Giao thông Vận tải Đà Nẵng cho biết, sẽ phối hợp với công an và ngành giao thông địa phương khác để hỗ trợ phương tiện vận chuyển rời thành phố. Ai tự túc được phương tiện có thể chủ động đi.
Người đang phải cách ly tập trung phải hoàn thành thời gian cách ly và có kết quả xét nghiệm âm tính. Người từ Đà Nẵng trở về các địa phương phải chấp hành khai báo y tế và tự cách ly ở nhà 14 ngày theo quy định về từ vùng dịch.
Trước đó, từ 12 đến 14/8, Đà Nẵng phối hợp với Cục hàng không Việt Nam đưa hơn 1.400 du khách mắc kẹt trong dịch về TP HCM và Hà Nội. Các du khách khi trở về được cách ly tập trung 14 ngày và lấy mẫu xét nghiệm Covid-19.
Tính từ ngày 24/7 đến 18h ngày 16/8, Bộ Y tế công bố tại Đà Nẵng ghi nhận 344 người mắc Covid-19. Trong đó, 289 bệnh nhân đang điều trị; 20 người tử vong; 43 người xuất viện. Thành phố đã cách ly y tế và tập trung gần 11.000 người; phong toả nhiều khu dân cư; tiếp tục cách ly xã hội (chưa xác định thời hạn).",Thời sự,1597595367.0,"['Đà Nẵng', 'nCoV', 'Covid-19', 'người dân', 'mắc kẹt', 'Dân sinh', 'Tin', 'Tin nóng']","['đà nẵng', 'ncov', 'covid-19', 'người dân', 'mắc kẹt']"
2,https://vnexpress.net/thuoc-la-va-covid-4147462.html,,,,Góc nhìn,1597599992.0,"['hút thuốc lá', 'Covid']","['hút thuốc lá', 'covid']"
3,https://vnexpress.net/tai-nan-xe-khach-8-nguoi-chet-do-lo-xe-cam-lai-4147447.html,Tai nạn xe khách 8 người chết 'do lơ xe cầm lái',"Công an huyện Hàm Tân xác định người điều khiển xe khách gây tai nạn làm 8 người chết, 7 người bị thương là lơ xe chứ không phải tài xế.","Tối 16/8, thượng tá Nguyễn Quang Hương (Trưởng Công an huyện Hàm Tân) cho biết cơ quan điều tra đã ra quyết định khởi tố vụ án Vi phạm các quy định về giao thông đường bộ xảy ra trên quốc lộ 1A qua xã Tân Đức làm 8 người chết, 7 người bị thương rạng sáng 21/7.
Cơ quan điều tra xác định, lơ xe Lê Thanh Trúc, 48 tuổi, cầm lái xe khách 16 chỗ từ Hàm Thuận Bắc (Bình Thuận) đi TP HCM. Khi vừa qua cầu Sông Giêng đã lấn sang trái, đâm trực diện vào chiếc xe tải biển số Khánh Hòa chở ống nhựa chạy chiều ngược lại. Ông Trúc chưa đủ điều kiện lái xe này, đã tử vong trong tai nạn.
Tuy nhiên, theo đăng ký của chủ xe, tài xế là Nguyễn Thanh Tiệp, 31 tuổi, quê Lâm Đồng. Kết quả trưng cầu giám định cho thấy, khi xảy ra tai nạn Tiệp không phải là người điều khiển xe nhưng nhận là người cầm lái.
Việt Quốc",Pháp luật,1597593292.0,"['Tai nạn giao thông', 'tai nạn xe khách', 'tai nạn 8 người chết ở Hàm Tân', 'điểm đen Bình Thuận', 'Hình sự', 'Tin', 'Tin nóng']","['tai nạn giao thông', 'tai nạn xe khách', 'tai nạn 8 người chết ở hàm tân', 'điểm đen bình thuận']"
4,https://vnexpress.net/lich-trinh-cua-ba-nguoi-mac-covid-19-song-cung-nha-4147432.html,Lịch trình của ba người mắc Covid-19 sống cùng nhà,"Ba người nhiễm nCoV có quan hệ ruột thịt, sống cùng nhà, cùng đến Bệnh viện Đà Nẵng chăm người thân.","Tối 16/8, Ban chỉ đạo phòng chống dịch Covid-19 thành phố Đà Nẵng công bố lịch trình của các ca bệnh, trong đó có ba người sống cùng nhà tại kiệt 160 đường Trần Cao Vân (phường Tam Thuận, quận Thanh Khê), cùng có mặt ở đám tang.
Nữ ""bệnh nhân 937"", 54 tuổi, làm nghề cấp dưỡng tại Trường mầm non Sao Mai (đường Bắc Đẩu, quận Hải Châu). Từ ngày 10 đến 21/7, bà chăm sóc mẹ 90 tuổi tại Khoa Thận - Nội tiết, Bệnh viện Đà Nẵng
Mẹ bà ra viện ngày 21/7. Khoảng 6h đến 9h30 từ ngày 22 đến 24/7, bà đến làm việc tại trường Sao Mai, có tiếp xúc với hai nữ tu sĩ ở đây nhưng không nhớ rõ tên. Bà sau đó về nhà và không đi nơi khác.
Sáng 25/7, bà đến tiệm làm tóc gần nhà, tiếp xúc với ba người là chủ tiệm và hai nhân viên. Trưa hôm sau, bà cùng một người bạn đến dự tiệc cưới tại nhà hàng Mikado trên đường Nguyễn Tất Thành, quận Thanh Khê, và có tiếp xúc khoảng 10 người ngồi cùng bàn.
Từ 27/7 đến 9/8, bệnh nhân chỉ ở nhà chăm sóc mẹ và tiếp xúc với những người trong gia đình. Ngày 12/8, cụ bà qua đời, gia đình tổ chức đám tang. Trong đám tang, ngoài việc gặp gỡ những người trong gia đình thường xuyên có mặt, bà còn tiếp xúc với các sư thầy tham gia tụng kinh.
Nam ""bệnh nhân 938"", 34 tuổi, là công nhân Công ty TNHH Seto Seisakusho, khu công nghiệp Hòa Khánh. Anh sống cùng gia đình tại K160 Trần Cao Vân và là cháu của ""bệnh nhân 937"".
Từ 17 đến 19/7, anh đến chăm sóc bà nội điều trị tại Khoa Thận - Nội tiết. Nam công nhân đi làm từ 20/7 đến 9/8. Trong thời gian diễn ra tang lễ, anh tiếp xúc với người phục vụ và khách đến viếng.
Nữ ""bệnh nhân 939"", 66 tuổi, là mẹ của ""bệnh nhân 938"". Bà cũng có mặt chăm mẹ chồng cùng thời gian với con trai và em chồng. Từ ngày 22 đến 26/7, bà thường đi chợ Thuận Thành (phường Tam Thuận); chăm sóc mẹ, tiếp xúc với những người trong gia đình. Trong đám tang, bà tiếp xúc với nhiều người có mặt.
Ngày 13/8, nhiều người trong gia đình bà được lấy mẫu xét nghiệm dịch hầu họng theo phương pháp gộp nhóm, do có liên quan đến Bệnh viện Đà Nẵng. Riêng cụ bà đã qua đời nên không được lấy mẫu.
Ngày 14/8, gia đình tổ chức tang lễ tại nghĩa trang Hoà Sơn (huyện Hoà Vang). Do nhóm mẫu của gia đình có kết quả nghi ngờ, tối cùng ngày họ được lấy mẫu riêng lẻ và ngày hôm sau ba người nhận kết quả dương tính với nCoV. Các bệnh nhân đang điều trị tại Bệnh viện Dã chiến Hoà Vang.
Ngay sau khi Bộ Y tế công bố các ca bệnh vào chiều 15/8, Chủ tịch UBND Đà Nẵng Huỳnh Đức Thơ đã yêu cầu quận Thanh Khê thiết lập ngay vùng cách ly y tế tại kiệt 160 đường Trần Cao Vân, thời gian 14 ngày.
Khu vực này được phong toả từ số nhà K160/2 đường Trần Cao Vân đến số nhà K160/106 đường Trần Cao Vân, và các đoạn đường thông nhau với kiệt 112 Trần Cao Vân từ số nhà K112/59 đường Trần Cao Vân đến số nhà K112/137 đường Trần Cao Vân. Khoảng 1.600 người dân bị phong toả và được lấy mẫu xét nghiệm.
Chủ tịch Đà Nẵng cũng yêu cầu các đơn vị liên quan rút kinh nghiệm trong việc ứng phó với dịch tại kiệt 160 Trần Cao Vân. Trong đó dù thành phố đã có chủ trương xét nghiệm tất cả người từng đến bệnh viện trong tháng 7 để truy vết, cách ly nhưng đến 13/8 người thân của cụ bà mới được lấy mẫu.
Tính từ ngày 24/7 đến 18h ngày 16/8, Bộ Y tế công bố tại Đà Nẵng ghi nhận 344 người mắc Covid-19. Trong đó, 289 bệnh nhân đang điều trị; 20 người tử vong; 43 người xuất viện. Thành phố đã lấy mẫu 125.693 người để xét nghiệm; cách ly y tế và tập trung gần 11.000 người.",Thời sự,1597589600.0,"['Đà Nẵng', 'nCoV', 'Covid-19', 'đám tang', 'ca bệnh mới', 'Dân sinh', 'Tin', 'Tin nóng']","['đà nẵng', 'ncov', 'covid-19', 'đám tang', 'ca bệnh mới']"
5,https://vnexpress.net/benh-nhan-covid-19-thu-9-o-ha-noi-di-chuyen-nhieu-noi-4147385.html,Bệnh nhân Covid-19 thứ 9 ở Hà Nội di chuyển nhiều nơi,"Trước khi được Bộ Y tế ghi nhận là ""bệnh nhân 962"" chiều 15/8, người đàn ông 30 tuổi ở Hà Nội đã gặp nhiều người, đi du lịch cùng cơ quan.","Bệnh nhân ở ngõ 91 Nguyễn Văn Trỗi, Phương Liệt, Thanh Xuân, là nhân viên ngân hàng Tiên Phong chi nhánh tại Hàng Da, Hàng Bông, Hoàn Kiếm. Đây là ca Covid-19 thứ 9 tại Hà Nội kể từ khi dịch tái bùng phát.
Điều tra dịch tễ cho thấy ngày 20-22/7 người này đi công tác Đà Nẵng, lưu trú tại khách sạn 331 Nguyễn Văn Linh, quận Thanh Khê. Sáng 21/7, anh đến văn phòng công chứng Đà Nẵng và UBND quận Sơn Trà, chiều cùng ngày đến UBND quận Sơn Trà lấy kết quả rồi về khách sạn. Buổi tối, anh ăn tại quán bún ở đường Hùng Vương, song không nhớ rõ địa chỉ.
Ngày 22/7, bệnh nhân đến chợ Cồn và ra sân bay về Hà Nội trên chuyến bay VJ520 khởi hành lúc 11h35, sau đó bắt xe công nghệ về ngân hàng Tiên Phong tại Hàng Da. Anh tiếp xúc với tất cả nhân viên tại cơ quan (khoảng 20 người). Tối cùng ngày, anh đến thăm vợ con tại Đại La, Đồng Tâm, sau đó về ngủ ở nhà trọ ngõ 91 Nguyễn Văn Trỗi.
Ngày 23-24/7, anh đi làm bình thường. Ngày 25-26/7, đi du lịch với cơ quan tại Sầm Sơn. Ngày 27/7-30/7, anh đi làm tại cơ quan, đến chiều 30/7 tự cách ly ở nhà sau khi biết thông tin dịch ở Đà Nẵng. Tối 2/8, bạn đến phòng của anh ăn uống.
Ngày 3/8, anh sốt 39 độ C, được Bệnh viện Thanh Nhàn lấy mẫu gửi CDC Hà Nội làm xét nghiệm PCR, kết quả xét nghiệm lần một âm tính. Cùng ngày 3/8, anh ở cùng phòng với ""bệnh nhân 812"" - lúc này chưa ghi nhận dương tính, cả hai đều đeo khẩu trang, mượn điện thoại của ""bệnh nhân 812"" gọi về cho gia đình.
Ngày 4/8, anh và ""bệnh nhân 812"" đều có kết quả xét nghiệm âm tính với nCoV. Ngày 4-14/8, sau khi ra viện, anh không đi làm, chủ động cách ly một mình tại phòng trọ. Hàng ngày, anh gọi dịch vụ giao đồ ăn, thanh toán qua thẻ, không tiếp xúc trực tiếp với người giao hàng. Tại khu nhà trọ, anh tiếp xúc với chủ nhà và mẹ của chủ nhà, đều đeo khẩu trang.
Chiều 6/8, anh tiếp xúc với một đồng nghiệp để bàn công việc tại tầng 3, tòa nhà Golden Palace, Mễ Trì, Nam Từ Liêm, cả hai đeo khẩu trang.
Ngày 8/8, anh nhờ đồng nghiệp mua đồ đến và tiếp xúc gần, cả hai đều đeo khẩu trang. Đến trưa, anh gặp và nói chuyện với một phụ nữ ở đầu ngõ, cả hai không đeo khẩu trang.
Ngày 10/8, anh xuất hiện triệu chứng giảm vị giác, giảm khứu giác. Ngày 14/8, anh tự lái xe máy đến Bệnh viện Thanh Nhàn, gửi xe tại bãi đỗ xe trước cổng viện và được chuyển vào khu cách ly.
Ngày 15/8, bệnh nhân được lấy mẫu xét nghiệm lần hai, Bệnh viện Thanh Nhàn cho kết quả dương tính. Sau đó mẫu bệnh phẩm được gửi đến CDC Hà Nội, kết quả tương tự. Bệnh nhân điều trị tại Bệnh viện Nhiệt Đới Trung Ương cơ sở 2.
Ngay sau khi nhận được kết quả xét nghiệm, CDC Hà Nội thông báo các đơn vị liên quan tiến hành điều tra dịch tễ, lập danh sách người tiếp xúc gần tại các địa điểm liên quan. Nhà chức trách xác minh 5 người F1, lấy mẫu xét nghiệm và cách ly tập trung tại trường Cao đẳng Nghề Công Nghệ Cao - Nam Từ Liêm, hiện tại chưa có kết quả xét nghiệm. 41 người thuộc diện F2.
Hiện ngành y tế Hà Nội tiếp tục điều tra lịch trình di chuyển của bệnh nhân, rà soát những người có liên quan, tiếp xúc với bệnh nhân để cách ly, theo dõi sức khỏe. Những người liên quan đến hành trình dịch tễ của bệnh nhân được khuyến cáo khai báo y tế và liên lạc với cơ quan y tế địa phương để được hỗ trợ.",,1597582224.0,"['bệnh nhân 962', 'di chuyển nhiều nơi', 'covid-19', 'hà nội', 'Covid-19', 'Khám chữa bệnh', 'Tin', 'Tin nóng']","['bệnh nhân 962', 'di chuyển nhiều nơi', 'covid-19', 'hà nội', 'covid-19']"
6,https://vnexpress.net/gene-ncov-benh-nhan-hai-duong-giong-chung-moi-da-nang-4147388.html,Gene nCoV bệnh nhân Hải Dương giống chủng mới Đà Nẵng,"Kết quả giải mã gene ""bệnh nhân 867"" ở Hải Dương do Viện Vệ sinh dịch tễ Trung ương thực hiện, cho thấy giống với chủng nCoV mới tại Đà Nẵng.","Đại diện Viện Vệ sinh dịch tễ Trung ương thông tin với VnExpress chiều 16/8. Với mã gene tương đồng với chủng nCoV gây Covid-19 tại Đà Nẵng, nCoV ở Hải Dương cũng có đặc tính lây lan rất nhanh, song độc lực không đổi.
""Bệnh nhân 867"", nam, 63 tuổi, ở Bình Giang, Hải Dương, khám tại Hà Nội, được Bộ Y tế ghi nhận mắc Covid-19 ngày 12/8. Chính quyền Hà Nội nhận định bệnh nhân 867 không có mối liên hệ với vùng dịch Đà Nẵng, hiện chưa rõ nguồn lây.
Cuối tháng 7, chỉ vài ngày sau khi khởi phát Covid-19 tại Đà Nẵng, Bộ Y tế cho biết kết quả phân tích nguồn gene nCoV từ các bệnh nhân Đà Nẵng cho thấy đây là chủng virus mới xuất hiện tại Việt Nam. Chủng này có đặc tính lây lan nhanh hơn so với các chủng trước đây đã ghi nhận. Tuy nhiên, chưa có căn cứ xác định độc lực của virus này tăng lên so với các chủng trước.
Đại diện Tổ chức Y tế Thế giới (WHO) tại Việt Nam cho biết biến thể nCoV phát hiện ở Đà Nẵng tương tự với các chủng đang lưu hành ở nhiều quốc gia. Hiện nay, đột biến nCoV lây lan rộng nhất trên thế giới có tên gọi D614G. Biến chủng này không mới, thường được gọi là thể G, xuất hiện lẻ tẻ trong các mẫu bệnh phẩm của người nhiễm nCoV từ khi dịch mới khởi phát ở Vũ Hán cho đến tận tháng 2. Tuy nhiên, khi xâm nhập vào Mỹ và các nước châu Âu, thể G tăng lên nhanh chóng.
Các phân tích chỉ ra rằng hiện nay chủng D614G tồn tại ở hơn 70% ca nhiễm được xác nhận trên toàn thế giới, gần 100% tại châu Âu. Đột biến này của nCoV chỉ lây lan mạnh, độc tính không đổi.
Hiện chưa chắc virus lây lan ở Đà Nẵng có thuộc chủng D614G hay không. Trên thế giới hiện đã phân lập được ít nhất 99 chủng. Tại Việt Nam, đến nay phát hiện 6 chủng.
Từ ""hệnh nhân 867"", hiện cơ quan chức năng tỉnh Hải Dương phát hiện thêm 4 ca nhiễm gồm các bệnh nhân 906, 907, 908 và 950. Bộ Y tế nhận định chùm ca bệnh tại Hải Dương khá phức tạp, vẫn chưa thể xác định được F0. Từ 0h ngày 14/8, thành phố Hải Dương cách ly xã hội trong 15 ngày.
Thúy Quỳnh",,1597580880.0,"['Covid-19', 'Hải dương', 'Đà Nẵng', 'chủng nCoV', 'chủng virus mới', 'giống nhau', 'ổ dịch', 'Khám chữa bệnh', 'Tin', 'Tin nóng']","['covid-19', 'hải dương', 'đà nẵng', 'chủng ncov', 'chủng virus mới', 'giống nhau', 'ổ dịch']"
7,https://vnexpress.net/ban-tuong-ot-nuoc-mam-lai-hon-10-ty-moi-thang-4147374.html,"Bán tương ớt, nước mắm lãi hơn 10 tỷ mỗi tháng","Chủ sở hữu thương hiệu tương ớt Cholimex nửa đầu năm nay lãi gần 70 tỷ đồng, hoàn thành phân nửa kế hoạch cả năm.","Báo cáo tài chính của Công ty cổ phần Thực phẩm Cholimex ghi nhận doanh thu nửa đầu năm 2020 gần 990 tỷ đồng và lãi sau thuế gần 70 tỷ đồng, đều tăng khoảng 6% so với cùng kỳ. Ước tính bình quân mỗi tháng công ty này có lãi hơn 11 tỷ đồng từ buôn bán các loại gia vị như tương ớt, tương cà, nước mắm, nước tương...
Cholimex đặt mục tiêu năm nay doanh thu đạt 2.200 tỷ nhờ tiêu thụ 235 triệu chai gia vị và 2.900 tấn thực phẩm đông lạnh. Lợi nhuận dự kiến giảm hơn 23% so với thực hiện năm trước, chỉ đạt khoảng 128 tỷ đồng.
Lý giải điều này, ban lãnh đạo công ty cho rằng tình hình kinh tế năm nay có nhiều bất ổn tác động xấu đến hoạt động sản xuất. Công ty cũng đối diện tình trạng khan hiếm nguồn lao động tay nghề cao, làm ảnh hưởng tiến độ hoàn thành kế hoạch trong mùa cao điểm.
Cholimex tiền thân là Công ty công tư hợp doanh xuất nhập khẩu Trực Dụng, thành lập năm 1981 và trực thuộc UBND quận 5, TP HCM. Ngành nghề chính của công ty này là sản xuất, chế biến và gia công các mặt hàng thực phẩm, hải sản. Trong đó, các loại tương ớt, tương cà, nước tương, chả giò... là những sản phẩm tạo nên thương hiệu. Ngoài tiêu thụ trong nước, công ty còn xuất khẩu sang châu Âu, Úc.
Ba cổ đông lớn đang nắm đến 92,55% vốn tại Cholimex gồm Công ty Xuất nhập khẩu và Đầu tư Chợ Lớn, Công ty TNHH MTV Thực phẩm Masan và Nichire Foods Inc.
Phương Đông",,1597585078.0,"['cholimex', 'tương ớt', 'Sức khỏe doanh nghiệp', 'Tin', 'Tin nóng']","['cholimex', 'tương ớt']"
8,https://vnexpress.net/8-nguoi-da-nang-mot-ha-noi-nhiem-ncov-4147370.html,"8 người Đà Nẵng, một Hà Nội nhiễm nCoV","Bộ Y tế chiều 16/8 ghi nhận thêm 11 ca nCoV, trong đó Đà Nẵng 8 ca, Hà Nội một, và hai ca nhập cảnh cách ly ngay.","""Bệnh nhân 952"", nam, 57 tuổi; ""bệnh nhân 953"", nữ, 56 tuổi; ""bệnh nhân 954"", nữ, hai tháng tuổi, đều ở Cẩm Lệ, Đà Nẵng. Ba người này cùng nhà, tiếp xúc với ""bệnh nhân 897"".
""Bệnh nhân 955"", nữ, 31 tuổi, Cẩm Lệ, Đà Nẵng, cũng tiếp xúc với ""bệnh nhân 897"".
""Bệnh nhân 956"", nữ, 40 tuổi, Sơn Trà, Đà Nẵng, tiếp xúc với ""bệnh nhân 680"".
""Bệnh nhân 957"", nữ, 67 tuổi, Liên Chiểu, Đà Nẵng, là bệnh nhân điều trị tại Bệnh viện Đà Nẵng.
""Bệnh nhân 958"", nữ, 46 tuổi, Liên Chiểu, người nhà chăm sóc bệnh nhân điều trị tại Bệnh viện Đà Nẵng.
""Bệnh nhân 961"", nữ, 32 tuổi, nhân viên y tế Bệnh viện dã chiến Hòa Vang, Đà Nẵng.
Ca ở Hà Nội được ghi nhận là ""bệnh nhân 962"", nam, 30 tuổi, đến thành phố Đà Nẵng từ ngày 20-22/7. Ngày 3/8, anh sốt 39 độ C, đến khám bệnh tại Bệnh viện Thanh Nhàn, lấy mẫu gửi Trung tâm Kiểm soát bệnh tật Hà Nội xét nghiệm lần một âm tính. Ngày 15/8, anh được lấy mẫu lần hai, kết quả xét nghiệm tại Bệnh viện Thanh Nhàn và Trung tâm Kiểm soát bệnh tật Hà Nội dương tính nCoV.
Hai ca nhập cảnh cách ly ngay tại Nha Trang là ""bệnh nhân 959"", nữ, 24 tuổi, ở Hoằng Hóa, Thanh Hóa và ""bệnh nhân 960"", nữ, 66 tuổi, Bắc Từ Liêm, Hà Nội. Hai người này từ Nhật Bản về sân bay Cam Ranh ngày 5/8 trên chuyến bay VJ7387, cách ly tập trung tại Trung tâm Giáo dục kiến thức quốc phòng - Đại học Nha Trang.
Như vậy, hôm nay ghi nhận 12 ca nhiễm mới, 9 người khỏi bệnh, một ca tử vong. Tổng số ca nhiễm cả nước lên 962, trong đó 456 người đã khỏi, 24 ca tử vong, còn 482 bệnh nhân đang điều trị.
Từ đầu dịch, Việt Nam ghi nhận 336 ca nhiễm nhập cảnh được cách ly ngay, không lây lan cộng đồng từ nhóm này.
Từ ngày 25/7 đến nay ghi nhận 486 ca lây nhiễm trong nước tại 15 tỉnh, thành phố, hầu hết liên quan tới ổ dịch tại Đà Nẵng.
Đến nay, tổng cộng Đà Nẵng ghi nhận 344 ca, Quảng Nam 90, TP HCM 11, Hà Nội 9, Quảng Trị 7, Bắc Giang 6, Quảng Ngãi 5, Lạng Sơn và Hải Dương 4, Đăk Lăk ba, Đồng Nai hai; Thái Bình, Hà Nam, Thanh Hóa, Khánh Hòa mỗi tỉnh một ca.
Hơn 107.000 người tiếp xúc gần và nhập cảnh từ vùng dịch được cách ly. Trong đó, cách ly tập trung tại bệnh viện hơn 4.000 người, tại cơ sở tập trung hơn 24.000, số còn lại tại nhà hoặc nơi lưu trú.
Thế giới ghi nhận hơn 750.000 người chết, hơn 21 triệu ca nhiễm tại 213 quốc gia. Mỹ và Brazil là hai nước có số ca mắc và số tử vong cao nhất thế giới. Tại khu vực Đông Nam Á, số ca mắc Covid-19 ở Philippines vượt qua Indonesia, trở thành vùng dịch nghiêm trọng nhất.",,1597576297.0,"['covid-19', 'dương tính ncov', 'ca nhiễm mới', 'Covid-19', 'Khám chữa bệnh', 'Tin', 'Tin nóng']","['covid-19', 'dương tính ncov', 'ca nhiễm mới', 'covid-19']"
9,https://vnexpress.net/trump-trung-quoc-mua-hang-my-de-lam-toi-vui-4147400.html,Trump: 'Trung Quốc mua hàng Mỹ để làm tôi vui',"Tổng thống Trump cho rằng Trung Quốc đang tăng cường thu mua hàng hóa Mỹ với mục đích là khiến ông ""hài lòng"".","""Trung Quốc đã mua một lượng ngô nhiều nhất trong lịch sử"", Tổng thống Mỹ Donald Trump nói tại cuộc họp báo ngày 15/8 tại câu lạc bộ golf Bedminster, New Jersey. ""Tuần trước, trong hai ngày, họ đã mua một lượng ngô và đậu nành lớn nhất trong lịch sử, cả gia súc nữa"".
""Trung Quốc đang mua rất nhiều thứ và họ làm vậy để khiến tôi vui lòng"", ông nói thêm.
Trump đưa ra bình luận trong bối cảnh Đại diện Thương mại Mỹ Robert Lighthizer và Phó thủ tướng Trung Quốc Lưu Hạc đáng lẽ có cuộc thảo luận để đánh giá về việc thực hiện thỏa thuận thương mại Mỹ - Trung giai đoạn một vào hôm qua. Tuy nhiên, cuộc đàm phán đã bị hoãn và chưa có thông báo về hoạt động kế tiếp.
Theo các điều khoản của thỏa thuận thương mại tạm thời được ký ngày 15/1, những cuộc thảo luận cấp cao giữa đôi bên nên được tổ chức mỗi nửa năm và 15/8 đánh dấu 6 tháng thỏa thuận giai đoạn một có hiệu lực.
Bình luận mới nhất của Tổng thống Trump nhằm xoa dịu những lo ngại rằng Mỹ và Trung Quốc đang dần ""xa cách"" hơn về thương mại.
""Việc số lượng hàng hóa Trung Quốc mua của Mỹ giảm so với các mục tiêu được hai nước thống nhất, điều khiến Tổng thống Donald Trump tức giận, cùng với căng thẳng địa chính trị gia tăng đang làm xấu đi triển vọng hợp tác song phương"", Michael Hirson, giám đốc khu vực châu Á của tổ chức tư vấn rủi ro Eurasia Group, nhận định hôm 14/8.
Vũ Hoàng (Theo SCMP)",Thế giới,1597583425.0,"['Mỹ', 'Trung Quốc', 'thương mại', 'hàng hóa', 'thỏa thuận thương mại giai đoạn một', 'Chính trị xã hội thế giới', 'Tin', 'Tin nóng']","['mỹ', 'trung quốc', 'thương mại', 'hàng hóa', 'thỏa thuận thương mại giai đoạn một']"
